doc_id,questionID,question_title,question_text,answer_text,original_topic,project_topic,tier,upvotes,ans_len,document_text
cc_0000,76,My husband wants a divorce after I was diagnosed with severe depression,"He said he would try and he never did. It's been nine months, and this is making me worse. Today, he said I have to respect whatever decision he makes. Is that true? Am I supposed to respect the decision to leave because he can't handle what I'm going through and leaves me here crying and worried every night? He's constantly changing his mind on if he wants to work it out.","Wow that is tough. There is nothing worse than fearing abandonment when you are already struggling with depression. It sounds like you are still wanting to work through whatever challenges you and your husband are having but your husband may not be on the same page. I would encourage you and your husband to seek professional support if you haven't already. While depression can put real strains on a relationship, relationship problems can lead to or contribute to depression and there may be some real benefits to both of you in doing some couple therapy. With that being said - if your husband is not willing to do therapy or is clear that he wants the relationship to end, then I can't see what choice you have but to ""respect his decision"" as you mentioned. This doesn't mean that you have to feel okay with the decision - as I'm sure you wouldn't - but ultimately loving one another and staying in committed relationships is a choice that we each have to make. If he is wanting to leave - this could make things a lot tougher for you. I would encourage you to seek professional support for yourself and reach out to lots of friends and family. You do not need to face depression alone - nor should you have to. We all need support at tough times like these.",depression,marriage,1,5,1264,"Question Title: My husband wants a divorce after I was diagnosed with severe depression

Question: He said he would try and he never did. It's been nine months, and this is making me worse. Today, he said I have to respect whatever decision he makes. Is that true? Am I supposed to respect the decision to leave because he can't handle what I'm going through and leaves me here crying and worried every night? He's constantly changing his mind on if he wants to work it out.

Therapist Answer: Wow that is tough. There is nothing worse than fearing abandonment when you are already struggling with depression. It sounds like you are still wanting to work through whatever challenges you and your husband are having but your husband may not be on the same page. I would encourage you and your husband to seek professional support if you haven't already. While depression can put real strains on a relationship, relationship problems can lead to or contribute to depression and there may be some real benefits to both of you in doing some couple therapy. With that being said - if your husband is not willing to do therapy or is clear that he wants the relationship to end, then I can't see what choice you have but to ""respect his decision"" as you mentioned. This doesn't mean that you have to feel okay with the decision - as I'm sure you wouldn't - but ultimately loving one another and staying in committed relationships is a choice that we each have to make. If he is wanting to leave - this could make things a lot tougher for you. I would encourage you to seek professional support for yourself and reach out to lots of friends and family. You do not need to face depression alone - nor should you have to. We all need support at tough times like these."
cc_0001,132,I'm depressed because my wife is divorcing me and I haven't seen my child in a while,"I'm going through a divorce with my wife of three years, who I've known since the 4th grade and been involved with for seven years! We just had a baby seven months ago and never got along with my mother, who I've lived with for years. I am now back with my mother because I have nowhere to go with this divorce looming. I'm heart broken because I fell into a depression, I haven't seen my child in a while, I'm having good and bad dreams, and I feel hated. Can you help? Can you intervene? Can I speak with someone?","It's hard to accept the end of a marriage when it's not your choice; you feel powerless, abandoned and unwanted. Your wife has the right to decide not to be in a marriage with you, and a therapist can help you accept and move through this change that has broken your heart and left you lost. You don't indicate why you haven't seen your child, and you may want to consult with a lawyer about the laws in your area and how to gain access to your baby. Therapists don't intervene in these ways. The marriage may be ending, but your role as a loving father is only beginning.  You can focus on giving your child the gift of two parents who respect each other.",depression,marriage,1,0,656,"Question Title: I'm depressed because my wife is divorcing me and I haven't seen my child in a while

Question: I'm going through a divorce with my wife of three years, who I've known since the 4th grade and been involved with for seven years! We just had a baby seven months ago and never got along with my mother, who I've lived with for years. I am now back with my mother because I have nowhere to go with this divorce looming. I'm heart broken because I fell into a depression, I haven't seen my child in a while, I'm having good and bad dreams, and I feel hated. Can you help? Can you intervene? Can I speak with someone?

Therapist Answer: It's hard to accept the end of a marriage when it's not your choice; you feel powerless, abandoned and unwanted. Your wife has the right to decide not to be in a marriage with you, and a therapist can help you accept and move through this change that has broken your heart and left you lost. You don't indicate why you haven't seen your child, and you may want to consult with a lawyer about the laws in your area and how to gain access to your baby. Therapists don't intervene in these ways. The marriage may be ending, but your role as a loving father is only beginning.  You can focus on giving your child the gift of two parents who respect each other."
cc_0002,160,How do I cope with separation anxiety while boyfriend is out of town?,"I have been with my boyfriend for more than a year. He recently got a new job and travels a lot. I’m not used to him being gone all the time. I feel as though he has forgotten about me because he does not talk with me as much and doesn’t keep me up to date on everything that he does throughout the day, which he used to.
 I feel lost, sad and unwanted. This is really a tough new challenge. I just want to break up with him, but I love him so much. I don’t know why he is acting this way lately. I believe I have separation anxiety. Is there anything that I can do to help me cope with this while he is out of town?","Relationships at any amount of distance can be so hard! It makes sense that you are encountering more anxiety than usual given that major change in your relationship. And you're right that being separated from our partners can heighten our insecurities and worries about not only our relationship security but about our partner's interest. Have you talked with your boyfriend about this struggle you're feeling? It can be hard to have this kind of conversation without triggering a sense of blame and subsequent defensiveness in our partners, but it really is possible. If you have any concerns about being able to do this, then a session or two with a local counselor or therapist might be really helpful - and it really can be just about finding the way to share what you're feeling.As far as coping with anxiety, there are a lot of options but I highly recommend an app called Self-Help for Anxiety Management. There's so much good information in this app to help you learn to pay attention to what kinds of thoughts are helpful or unhelpful, and there are also lots of activities for calming down and decreasing the intensity of that anxiety. The best part is, it's free!",anxiety,breakup,1,3,1175,"Question Title: How do I cope with separation anxiety while boyfriend is out of town?

Question: I have been with my boyfriend for more than a year. He recently got a new job and travels a lot. I’m not used to him being gone all the time. I feel as though he has forgotten about me because he does not talk with me as much and doesn’t keep me up to date on everything that he does throughout the day, which he used to.
 I feel lost, sad and unwanted. This is really a tough new challenge. I just want to break up with him, but I love him so much. I don’t know why he is acting this way lately. I believe I have separation anxiety. Is there anything that I can do to help me cope with this while he is out of town?

Therapist Answer: Relationships at any amount of distance can be so hard! It makes sense that you are encountering more anxiety than usual given that major change in your relationship. And you're right that being separated from our partners can heighten our insecurities and worries about not only our relationship security but about our partner's interest. Have you talked with your boyfriend about this struggle you're feeling? It can be hard to have this kind of conversation without triggering a sense of blame and subsequent defensiveness in our partners, but it really is possible. If you have any concerns about being able to do this, then a session or two with a local counselor or therapist might be really helpful - and it really can be just about finding the way to share what you're feeling.As far as coping with anxiety, there are a lot of options but I highly recommend an app called Self-Help for Anxiety Management. There's so much good information in this app to help you learn to pay attention to what kinds of thoughts are helpful or unhelpful, and there are also lots of activities for calming down and decreasing the intensity of that anxiety. The best part is, it's free!"
cc_0003,210,How to stop worrying in a long distance relationship?,"My partner lives in Canada while I live in the US. We visit each other, but we go months in between visits. I have anxiety, and I'm always anxious about him cheating or still having feelings for an ex that he dated for three years. He doesn't understand my anxiety. How do I stop myself from worrying so much?","Would you worry less if you and your partner had a plan as to when you will be together as a couple?Long distance relationships are not for everybody.   Some people need the daily or frequent interaction to feel secure.The question is not so much how to deal with anxiety that your partner is cheating on you than whether your own emotional and relationship requirements are satisfied with a long distance relationship.Anyway, cheating has nothing to do with distance since married people cheat while living together for years under the same roof!",anxiety,trust,1,0,547,"Question Title: How to stop worrying in a long distance relationship?

Question: My partner lives in Canada while I live in the US. We visit each other, but we go months in between visits. I have anxiety, and I'm always anxious about him cheating or still having feelings for an ex that he dated for three years. He doesn't understand my anxiety. How do I stop myself from worrying so much?

Therapist Answer: Would you worry less if you and your partner had a plan as to when you will be together as a couple?Long distance relationships are not for everybody.   Some people need the daily or frequent interaction to feel secure.The question is not so much how to deal with anxiety that your partner is cheating on you than whether your own emotional and relationship requirements are satisfied with a long distance relationship.Anyway, cheating has nothing to do with distance since married people cheat while living together for years under the same roof!"
cc_0004,240,I have come to the realization that my boyfriend and I want different things,"I feel that I need to end my present relationship. He lives three hours away and likes the reassurance of having someone to talk to multiple times per day and seeing me once or twice a month. I want someone who is more present and more of a life companion. Lately, he has had a very busy work schedule and I have only seen him a few times in the last 6 weeks. I told him that I can't continue in this way because I constantly feel frustrated and angry and that he is not making the relationship enough of a priority. I also feel it is keeping me from possibly finding the relationship I want. We have been together 7 years. The problem is that I panic and experience anxiety and depression thinking of him with someone else and then thinking I will never meet someone I like. We have gone through this cycle already 4-5 times and I feel it is unhealthy to stay in it, but my aversion to the anxiety and depression I experience upon separation always leads me to reconcile.","Sounds like your panic is less about loosing the relationship you are in (which by the way doesn't sound like it's meeting YOUR need for connection) and more about being alone. Being with him is serving you, even if the relationship is less than ideal, from being alone. Being alone can be scary. You'd have to face yourself. You'd have to learn to love and care for and cherish yourself. All important skills and tasks in maturing and growing up, but scary none the less. What if...What if you gave yourself permission to be in a relationship with YOU?",anxiety,relationship_general,1,0,553,"Question Title: I have come to the realization that my boyfriend and I want different things

Question: I feel that I need to end my present relationship. He lives three hours away and likes the reassurance of having someone to talk to multiple times per day and seeing me once or twice a month. I want someone who is more present and more of a life companion. Lately, he has had a very busy work schedule and I have only seen him a few times in the last 6 weeks. I told him that I can't continue in this way because I constantly feel frustrated and angry and that he is not making the relationship enough of a priority. I also feel it is keeping me from possibly finding the relationship I want. We have been together 7 years. The problem is that I panic and experience anxiety and depression thinking of him with someone else and then thinking I will never meet someone I like. We have gone through this cycle already 4-5 times and I feel it is unhealthy to stay in it, but my aversion to the anxiety and depression I experience upon separation always leads me to reconcile.

Therapist Answer: Sounds like your panic is less about loosing the relationship you are in (which by the way doesn't sound like it's meeting YOUR need for connection) and more about being alone. Being with him is serving you, even if the relationship is less than ideal, from being alone. Being alone can be scary. You'd have to face yourself. You'd have to learn to love and care for and cherish yourself. All important skills and tasks in maturing and growing up, but scary none the less. What if...What if you gave yourself permission to be in a relationship with YOU?"
cc_0005,248,I'm experiencing panic attacks when I'm physically separated from my girlfriend,"Whenever I leave my girlfriend I get panic attacks. I'm taking medications to control them, but I'm thinking of moving in with her since I get so anxious.","I’m sorry to hear that you are currently experiencing panic attacks. I hope that the medication you have been prescribed has provided you with some relief. Unfortunately, I don’t feel that moving in with your girlfriend would alleviate your anxiety. Although you may feel very anxious about leaving her, your body is reacting to this stressful event in your life in an unhealthy manner. You may be able to render this particular situation but it’s likely that you may experience another panic attack when an additional stressful event arises. Therefore, it is essential that you address the reason for why you are experiencing panic attacks in the first place followed by practicing coping mechanisms in the case that one would arise in the future.Talk therapy has shown to be effective with those affected by anxiety along with breathing exercises and yoga. A trained therapist will be able to assist you in finding the right stress reducing method so that you can reduce the chance of another attack occurring.I wish you the best of luck! It sounds like you are very happy in your relationship and I hope you are able to reduce your anxiety so that you are able to enjoy one another.",anxiety,relationship_general,1,1,1185,"Question Title: I'm experiencing panic attacks when I'm physically separated from my girlfriend

Question: Whenever I leave my girlfriend I get panic attacks. I'm taking medications to control them, but I'm thinking of moving in with her since I get so anxious.

Therapist Answer: I’m sorry to hear that you are currently experiencing panic attacks. I hope that the medication you have been prescribed has provided you with some relief. Unfortunately, I don’t feel that moving in with your girlfriend would alleviate your anxiety. Although you may feel very anxious about leaving her, your body is reacting to this stressful event in your life in an unhealthy manner. You may be able to render this particular situation but it’s likely that you may experience another panic attack when an additional stressful event arises. Therefore, it is essential that you address the reason for why you are experiencing panic attacks in the first place followed by practicing coping mechanisms in the case that one would arise in the future.Talk therapy has shown to be effective with those affected by anxiety along with breathing exercises and yoga. A trained therapist will be able to assist you in finding the right stress reducing method so that you can reduce the chance of another attack occurring.I wish you the best of luck! It sounds like you are very happy in your relationship and I hope you are able to reduce your anxiety so that you are able to enjoy one another."
cc_0006,296,Should I leave my boyfriend?,"My boyfriend has a child he gets every other weekend. He goes to see her twice a week or more. Every time she leaves, he gets into these funks like when his mom died. When she’s here, she’s disrespectful, and his answer is “Well, I don’t know what to tell you.” She swears and talks back, and he laughs. He and her mom have been apart for three years, and he blames her behavior on that and her being so young. We never have adult time when she’s not here. She’s the ""golden child,"" and he won’t listen to anyone.","Hi Lockport, Building a relationship when there are already children involved is very tricky. You don't tell us whether you live together or not. If you do, your position is perhaps more difficult, because his daughter's behaviours affect you; you live in the home. A bottom line for me is you don't tell someone else how to parent. That's for your boyfriend to decide. When he's there, he's the parent, and he makes the decisions about how she is disciplined (or not). Even if you have good ideas or you completely disagree, or you think you see something that he's not seeing, it's simply not for you to interfere there. It sounds like your boyfriend is struggling emotionally and needs support. He has had a lot of losses in his life and maybe every time his daughter leaves he feels powerless and abandoned. Do you talk about these things? Can you find that line of supporting him but not telling him what to do?Although I suggest you leave the parenting to him, what you can do is tell him what you see, offer suggestions if he's open to it, and talk about the ways in which the situation affects you. It makes sense to say ""I see you struggling and I don't know how to help"", ""I've noticed that you seem afraid to discipline her. Are you aware that it's coming across this way? Do you need help?"", or ""I feel sad and frustrated when we don't spend any time alone together."" You sound a bit resentful of his daughter. Is it possible that your real struggle is about whether you're ready to be in a relationship with a man whose priority is his child?You have a voice, and it's great to offer support and ideas and let him know how you feel. Ultimately, however, you are wise to accept this man as who he is and accept the situation for what it is, and make your own decision about whether you want to be a part of it. :)",parenting,relationship_general,1,1,1825,"Question Title: Should I leave my boyfriend?

Question: My boyfriend has a child he gets every other weekend. He goes to see her twice a week or more. Every time she leaves, he gets into these funks like when his mom died. When she’s here, she’s disrespectful, and his answer is “Well, I don’t know what to tell you.” She swears and talks back, and he laughs. He and her mom have been apart for three years, and he blames her behavior on that and her being so young. We never have adult time when she’s not here. She’s the ""golden child,"" and he won’t listen to anyone.

Therapist Answer: Hi Lockport, Building a relationship when there are already children involved is very tricky. You don't tell us whether you live together or not. If you do, your position is perhaps more difficult, because his daughter's behaviours affect you; you live in the home. A bottom line for me is you don't tell someone else how to parent. That's for your boyfriend to decide. When he's there, he's the parent, and he makes the decisions about how she is disciplined (or not). Even if you have good ideas or you completely disagree, or you think you see something that he's not seeing, it's simply not for you to interfere there. It sounds like your boyfriend is struggling emotionally and needs support. He has had a lot of losses in his life and maybe every time his daughter leaves he feels powerless and abandoned. Do you talk about these things? Can you find that line of supporting him but not telling him what to do?Although I suggest you leave the parenting to him, what you can do is tell him what you see, offer suggestions if he's open to it, and talk about the ways in which the situation affects you. It makes sense to say ""I see you struggling and I don't know how to help"", ""I've noticed that you seem afraid to discipline her. Are you aware that it's coming across this way? Do you need help?"", or ""I feel sad and frustrated when we don't spend any time alone together."" You sound a bit resentful of his daughter. Is it possible that your real struggle is about whether you're ready to be in a relationship with a man whose priority is his child?You have a voice, and it's great to offer support and ideas and let him know how you feel. Ultimately, however, you are wise to accept this man as who he is and accept the situation for what it is, and make your own decision about whether you want to be a part of it. :)"
cc_0007,305,How can my boyfriend forgive me when I can't forgive myself?,"I have been in a relationship with my boyfriend for about six years now. In the past, our relationship was difficult and frustrating. We argued a lot, and due to that, there was a lot of tension between us. We stayed together because we love each other and wanted to make it work. I used to party a lot, and several times I got into situations where I would end up kissing someone else. These situations were never more than just kissing. I have come clean about these situations with my boyfriend, and he decided to forgive and move forward with me. I love him so much and want to work things out too, but I'm having a difficult time understanding how he can forgive me. I can't seem to forgive myself. I'm overwhelmed with feelings of guilt and unworthiness.","Hi Cerritos,This is an interesting twist because it's more common for the person in your position to want to move forward, and for the person who was wronged to struggle with forgiveness. You are lucky to have a loving, compassionate partner, and your boyfriend is lucky to have a partner who takes full responsibility for their actions. My hunch is that you learned some things about yourself when you were younger that are playing a role here. Your sense of worthlessness seems out of proportion to the mistakes you made. You don't have to be perfect in order to deserve the love of a good man. You only have to have the maturity to recognise when you've hurt someone and work hard to make it better. Who in your life overreacted to small mistakes you made? Were you shamed as a child? Did you learn that you deserved to be punished? Did something bad happen that you thought was your fault? Is there a mistake you made long ago that you need forgiveness for? There is a younger person inside you waiting to be forgiven for something they weren't entirely responsible for. The bar is too high for you. If I was your therapist, I would work with you to find the source of the shame, and address that wound. If you want to move forward and be with your boyfriend, your job will be to forgive yourself. Forgiving doesn't mean ""it was okay""; forgiving simply means that it happened, that you can't erase it, and that you don't want to carry it around or punish yourself for it anymore. You have done many things here that you can feel proud of! You've 'come clean', you've been honest, you've taken responsibility for your actions, you've not tried to minimize what you did, and you've chosen to be more loyal and aware of how you impact your boyfriend. These are all things you can use to build your sense of worth. You are acting very honourably. It's time to put your past mistakes away on the shelf knowing that you've learned from them and are a better person now. It's not our mistakes...not our worst moments that define us...it's how we handle them afterwards.I wish you growth and happiness.",self-esteem,conflict,1,3,2098,"Question Title: How can my boyfriend forgive me when I can't forgive myself?

Question: I have been in a relationship with my boyfriend for about six years now. In the past, our relationship was difficult and frustrating. We argued a lot, and due to that, there was a lot of tension between us. We stayed together because we love each other and wanted to make it work. I used to party a lot, and several times I got into situations where I would end up kissing someone else. These situations were never more than just kissing. I have come clean about these situations with my boyfriend, and he decided to forgive and move forward with me. I love him so much and want to work things out too, but I'm having a difficult time understanding how he can forgive me. I can't seem to forgive myself. I'm overwhelmed with feelings of guilt and unworthiness.

Therapist Answer: Hi Cerritos,This is an interesting twist because it's more common for the person in your position to want to move forward, and for the person who was wronged to struggle with forgiveness. You are lucky to have a loving, compassionate partner, and your boyfriend is lucky to have a partner who takes full responsibility for their actions. My hunch is that you learned some things about yourself when you were younger that are playing a role here. Your sense of worthlessness seems out of proportion to the mistakes you made. You don't have to be perfect in order to deserve the love of a good man. You only have to have the maturity to recognise when you've hurt someone and work hard to make it better. Who in your life overreacted to small mistakes you made? Were you shamed as a child? Did you learn that you deserved to be punished? Did something bad happen that you thought was your fault? Is there a mistake you made long ago that you need forgiveness for? There is a younger person inside you waiting to be forgiven for something they weren't entirely responsible for. The bar is too high for you. If I was your therapist, I would work with you to find the source of the shame, and address that wound. If you want to move forward and be with your boyfriend, your job will be to forgive yourself. Forgiving doesn't mean ""it was okay""; forgiving simply means that it happened, that you can't erase it, and that you don't want to carry it around or punish yourself for it anymore. You have done many things here that you can feel proud of! You've 'come clean', you've been honest, you've taken responsibility for your actions, you've not tried to minimize what you did, and you've chosen to be more loyal and aware of how you impact your boyfriend. These are all things you can use to build your sense of worth. You are acting very honourably. It's time to put your past mistakes away on the shelf knowing that you've learned from them and are a better person now. It's not our mistakes...not our worst moments that define us...it's how we handle them afterwards.I wish you growth and happiness."
cc_0008,310,Should I break up with my live-in girlfriend?,"I'm a male in my 20s. My girlfriend is in her late 30s. She's great. She's funny and smart, she has a big heart, and we have an excellent sex life. She recently moved in with me partially because she wanted to and partially because she had no place to go. We fight a lot. It’s mostly my fault, I must admit. She doesn't like my insecurity and lack of trust I have for her. I have trust issues. Also, I can't fathom why a woman like her is with me, so I'm always dreading when a better dude will come along. I don't think she's happy. She's very submissive and she loves me very much, but also the fact that she has nowhere to go must be influencing her decision to stay. I love her so much, but my jealousy is not likely to diminish. I never believed in the whole ""If you love them, let them go,"" but I do now. I really want her to be happy. Should I end it with her? She has no place to go so I feel like I can’t break up with her. I’m literally trapped.","Hi Fort Worth,  I applaud your awareness and insight into the relationship.  Most of us come into relationships carrying old baggage and although you can't change her,  what you can do, is change yourself.  We can usually begin to understand ourselves better in the context of our own upbringings.  That is where we learn what a relationship looks like and it is often not the best teacher.  I wonder about your jealously, insecurity, feeling trapped and a lack of trust.  Has that ever showed up anywhere before?  It has more to do with you and less to do with her.   Your relationship with her is tapping into unresolved issues within yourself.  That is really where you want to focus. Once you understand it and resolve it, you will no longer need to ask anyone else what to do, because you will know.  You are young and just getting started in the relationship world and the healthier you are, the better you will know what healthy looks like.   Know yourself, understand yourself and love yourself.  The rest will take care of itself.  Finding a Therapist can be a big help in this process.  You are asking the question, so I suspect you are ready to look at the man in the mirror.  I believe in you and am wishing you all the best.Sandra Cooper, RN, LPCMH",self-esteem,trust,1,5,1261,"Question Title: Should I break up with my live-in girlfriend?

Question: I'm a male in my 20s. My girlfriend is in her late 30s. She's great. She's funny and smart, she has a big heart, and we have an excellent sex life. She recently moved in with me partially because she wanted to and partially because she had no place to go. We fight a lot. It’s mostly my fault, I must admit. She doesn't like my insecurity and lack of trust I have for her. I have trust issues. Also, I can't fathom why a woman like her is with me, so I'm always dreading when a better dude will come along. I don't think she's happy. She's very submissive and she loves me very much, but also the fact that she has nowhere to go must be influencing her decision to stay. I love her so much, but my jealousy is not likely to diminish. I never believed in the whole ""If you love them, let them go,"" but I do now. I really want her to be happy. Should I end it with her? She has no place to go so I feel like I can’t break up with her. I’m literally trapped.

Therapist Answer: Hi Fort Worth,  I applaud your awareness and insight into the relationship.  Most of us come into relationships carrying old baggage and although you can't change her,  what you can do, is change yourself.  We can usually begin to understand ourselves better in the context of our own upbringings.  That is where we learn what a relationship looks like and it is often not the best teacher.  I wonder about your jealously, insecurity, feeling trapped and a lack of trust.  Has that ever showed up anywhere before?  It has more to do with you and less to do with her.   Your relationship with her is tapping into unresolved issues within yourself.  That is really where you want to focus. Once you understand it and resolve it, you will no longer need to ask anyone else what to do, because you will know.  You are young and just getting started in the relationship world and the healthier you are, the better you will know what healthy looks like.   Know yourself, understand yourself and love yourself.  The rest will take care of itself.  Finding a Therapist can be a big help in this process.  You are asking the question, so I suspect you are ready to look at the man in the mirror.  I believe in you and am wishing you all the best.Sandra Cooper, RN, LPCMH"
cc_0009,321,How do I save my marriage?,"What am I doing wrong? My wife and I are fighting all the time. What can I do? We don't agree on anything and she usually jumps to conclusions, which are usually wrong on how I feel. She is very family-oriented while all of my family left me on my butt, abused, ignored and messed up with me mentally. I'm not a family-oriented person. I only have two people in my life - my best friend and my wife.    My mother forced my father out of my life so I do not know who he really is. We've gotten in contact but he just makes comments on how much I look like her when in fact I look more like him. This makes me mad because I don't want to look like my mother. I hate her. All that she did was bring me down and make me homeless, which she was successful at. I need guidance in my life. I don't want to lose my wife but we need to have a space because we usually hit each other and it's not healthy. I'm dying to make our relationship healthy. I've never wanted anything more than this. Please help me. I need your advice.","Hello. It sounds to me like you are carrying an enormous amount of emotional weight, and maybe even an equally enormous amount of guilt and feelings of failure about your marriage. I cannot imagine how challenging this is for you right now. Marriages take lots of work, and often the only examples we tend to have are of those we saw when we were young - good, bad, or indifferent. There are no easy answers to your questions, and I won't presume that my response to you will be the linch-pin that heals all your pain. But I can maybe give some thoughts and reflections. First and foremost, cut yourself some slack. No one is perfect. We fail more often than we succeed, but in the end we learn, and that learning helps us grow. Yes, you're right, the abusive aspects of your marriage are not good, and need to stop. You probably are doing more harm than good in that regard, and this will quickly destroy anything you have in your marriage that is even remotely in your favor. Seeing a therapist for yourself, and then seeing a therapist as a couple is a good approach. You have issues that you need to resolve, that, while they impact your marriage because they are part of the history of your life, they are separate from your marriage in many respects.Joining a marriage support group can also be helpful. You can find these through local counseling resources. Sometimes your local crisis numbers can provide services in your area that can be helpful. If you belong to a religious or spiritual community, then you might see if there is any type of counseling offered for free or at a reduced rate. Sometimes pastoral support is focused on the spiritual side of any issues addressed, so if you feel this is important it might be a viable option for you.Lastly, parents are imperfect. Yep...its true. They had no more of a guaranteed parenting success manual than you do at having chances for a perfect marriage. We limp along and do our best. Having said that, we can still take the best from our past and apply to our future, no matter how small or insignificant it might be for us. The bad stuff serves as lessons of what to avoid, and we are each responsible and accountable for our actions in this life. Both with ourselves, and toward other people. So this becomes a guiding principle in our actions. It may be that you discover that the marriage you are in is not a good fit.  I am sure that remains to be seen, but either way you both must be involved in saving it. If only one of you cares, then 100% of the energy to salvage the marriage rests on the shoulders of one person. That's not fair. So be sure you have a clear understanding from your wife about what she wants, and work to create an amicable solution. All of this said, seek out supportive friends, and actively work to do your part to make the changes you want to see in your life. One way or the other, you will benefit from it.Be well.",self-esteem,marriage,1,0,2911,"Question Title: How do I save my marriage?

Question: What am I doing wrong? My wife and I are fighting all the time. What can I do? We don't agree on anything and she usually jumps to conclusions, which are usually wrong on how I feel. She is very family-oriented while all of my family left me on my butt, abused, ignored and messed up with me mentally. I'm not a family-oriented person. I only have two people in my life - my best friend and my wife.    My mother forced my father out of my life so I do not know who he really is. We've gotten in contact but he just makes comments on how much I look like her when in fact I look more like him. This makes me mad because I don't want to look like my mother. I hate her. All that she did was bring me down and make me homeless, which she was successful at. I need guidance in my life. I don't want to lose my wife but we need to have a space because we usually hit each other and it's not healthy. I'm dying to make our relationship healthy. I've never wanted anything more than this. Please help me. I need your advice.

Therapist Answer: Hello. It sounds to me like you are carrying an enormous amount of emotional weight, and maybe even an equally enormous amount of guilt and feelings of failure about your marriage. I cannot imagine how challenging this is for you right now. Marriages take lots of work, and often the only examples we tend to have are of those we saw when we were young - good, bad, or indifferent. There are no easy answers to your questions, and I won't presume that my response to you will be the linch-pin that heals all your pain. But I can maybe give some thoughts and reflections. First and foremost, cut yourself some slack. No one is perfect. We fail more often than we succeed, but in the end we learn, and that learning helps us grow. Yes, you're right, the abusive aspects of your marriage are not good, and need to stop. You probably are doing more harm than good in that regard, and this will quickly destroy anything you have in your marriage that is even remotely in your favor. Seeing a therapist for yourself, and then seeing a therapist as a couple is a good approach. You have issues that you need to resolve, that, while they impact your marriage because they are part of the history of your life, they are separate from your marriage in many respects.Joining a marriage support group can also be helpful. You can find these through local counseling resources. Sometimes your local crisis numbers can provide services in your area that can be helpful. If you belong to a religious or spiritual community, then you might see if there is any type of counseling offered for free or at a reduced rate. Sometimes pastoral support is focused on the spiritual side of any issues addressed, so if you feel this is important it might be a viable option for you.Lastly, parents are imperfect. Yep...its true. They had no more of a guaranteed parenting success manual than you do at having chances for a perfect marriage. We limp along and do our best. Having said that, we can still take the best from our past and apply to our future, no matter how small or insignificant it might be for us. The bad stuff serves as lessons of what to avoid, and we are each responsible and accountable for our actions in this life. Both with ourselves, and toward other people. So this becomes a guiding principle in our actions. It may be that you discover that the marriage you are in is not a good fit.  I am sure that remains to be seen, but either way you both must be involved in saving it. If only one of you cares, then 100% of the energy to salvage the marriage rests on the shoulders of one person. That's not fair. So be sure you have a clear understanding from your wife about what she wants, and work to create an amicable solution. All of this said, seek out supportive friends, and actively work to do your part to make the changes you want to see in your life. One way or the other, you will benefit from it.Be well."
